context,response,context_html,speaker,DialoGPT,BlenderBot-3B,COSMO-3B,GODEL-L
"['How are you today ? ', ' Great , thanks . ', ' Can I help you ? ', ' I would actually like to view the apartment for rent today . ', ' I ’ m sorry , but you won ’ t be able to view it today . ', ' Why not ? ', ' You have to make an appointment first . ', ' Oh , okay . Can I do that right now ? ', ' Is this Friday okay ? ']", Is 6 o ’ clock Friday evening okay ? ,"<b>ALICE:</b> How are you today ? <br><b>BOB:</b>  Great , thanks . <br><b>ALICE:</b>  Can I help you ? <br><b>BOB:</b>  I would actually like to view the apartment for rent today . <br><b>ALICE:</b>  I ’ m sorry , but you won ’ t be able to view it today . <br><b>BOB:</b>  Why not ? <br><b>ALICE:</b>  You have to make an appointment first . <br><b>BOB:</b>  Oh , okay . Can I do that right now ? <br><b>ALICE:</b>  Is this Friday okay ? ",BOB,Alright. My gates are open," Sure, what do you want to know about it? Do you have any questions?","Yes , that sounds fine . Thank you !",Ok. I will call you next week.
"['Want to send out for some Chinese ? ', ' Some what ? ', "" Some Chinese food . I'm hungry , and there's a take-out restaurant near here . We can have them deliver and then watch the news on TV while we eat . "", "" No , I'd rather go out . The Chinese food here is rather different from what I had at home . Maybe we can try some other food today ... What about that all-you-can-eat place we passed the other day , the one over in the shopping center ? "", "" Okay . I could go for that . It's called Al's Steakhouse . They also have great fried fish , and I love their salad bar . You can go back to refill your plate as often as you like . ""]", Is that the place that serves such large portions of meat ? ,"<b>ALICE:</b> Want to send out for some Chinese ? <br><b>BOB:</b>  Some what ? <br><b>ALICE:</b>  Some Chinese food . I'm hungry , and there's a take-out restaurant near here . We can have them deliver and then watch the news on TV while we eat . <br><b>BOB:</b>  No , I'd rather go out . The Chinese food here is rather different from what I had at home . Maybe we can try some other food today ... What about that all-you-can-eat place we passed the other day , the one over in the shopping center ? <br><b>ALICE:</b>  Okay . I could go for that . It's called Al's Steakhouse . They also have great fried fish , and I love their salad bar . You can go back to refill your plate as often as you like . ",BOB,C," I love chinese food, it is one of my favorite foods.  I would love to go to that all you can eat chinese restaurant.",Perfect ! Let's go there then .,Al's? What a lovely name.
"['Do you have something to read ? ', ' Yes , I do . ', ' Could you lend me one ? ', ' OK . Here you are . ', "" Thanks . It's rather cold this morning , wouldn't you say ? "", "" You're right . ""]", Do you know the news ? ,"<b>ALICE:</b> Do you have something to read ? <br><b>BOB:</b>  Yes , I do . <br><b>ALICE:</b>  Could you lend me one ? <br><b>BOB:</b>  OK . Here you are . <br><b>ALICE:</b>  Thanks . It's rather cold this morning , wouldn't you say ? <br><b>BOB:</b>  You're right . ",ALICE,That's a relief, I would love to lend you a book. Do you want a physical book or e-book?,I think I'll take a walk soon. Do you want to come with me ?,I've got a lot to read this morning.
"[""It's quiet everywhere in winter . "", ' Yes . I like winter . ', ' Me too . ', "" It's snowing heavily . What about taking a walk ? "", "" That's a good idea . Let's go ! "", ' What a heavy snow ! Look ! The water is frozen . ', "" Take care ! Don't slip on the ground . "", "" I've got it . I like the feeling of stepping on the ice . "", ' Yes . Very wonderful . ', ' There is a snowman over there . ']", How lovely it is ! ,<b>ALICE:</b> It's quiet everywhere in winter . <br><b>BOB:</b>  Yes . I like winter . <br><b>ALICE:</b>  Me too . <br><b>BOB:</b>  It's snowing heavily . What about taking a walk ? <br><b>ALICE:</b>  That's a good idea . Let's go ! <br><b>BOB:</b>  What a heavy snow ! Look ! The water is frozen . <br><b>ALICE:</b>  Take care ! Don't slip on the ground . <br><b>BOB:</b>  I've got it . I like the feeling of stepping on the ice . <br><b>ALICE:</b>  Yes . Very wonderful . <br><b>BOB:</b>  There is a snowman over there . ,ALICE,Wats your name?, I love walking in the snow. It's so peaceful and quiet..,It's very big ! I like to build snowmen .,"Oh, it is a snowman. It's so cute."
"[""Mary , it's good to see you ! "", "" Josh and I were just on our way back home from the beach and thought we'd drop by . "", ' I am so glad that you decided to stop by ! ', ' Yes , it has been a long time since we have seen you . ']"," Mary , can I get Josh or you something to drink ? ","<b>ALICE:</b> Mary , it's good to see you ! <br><b>BOB:</b>  Josh and I were just on our way back home from the beach and thought we'd drop by . <br><b>ALICE:</b>  I am so glad that you decided to stop by ! <br><b>BOB:</b>  Yes , it has been a long time since we have seen you . ",ALICE,How is it? I feel like you've been gone for a long time. What was the last time you had a boyfriend?, It has been awhile! How have you been?    +/u/dogetipbot 10 doge,It sure has . But it is nice to finally catch up . So what have you been up to lately?,"Yes, it really has."
['I just have to come up for air . I ’ Ve been here for too long a time . '], OK . You ’ d better come back in two hours . ,<b>ALICE:</b> I just have to come up for air . I ’ Ve been here for too long a time . ,BOB,"So this s not just me then, apparently...", I'm sorry to hear that. Is there anything I can do to help?,Do you really think that your current situation is so bad that it warrants a mental health evaluation?,I want to be here forever.
['He said I have a big nose . I wonder what that means . ']," You are interested in other people ’ s business , aren ’ t you ? ",<b>ALICE:</b> He said I have a big nose . I wonder what that means . ,BOB,I am your biggest...," It means that you have a prominent nose, which is a characteristic feature of a person.",Why would that make him say that to you?,It means that you have a big nose. He's referring to your nose as a'round hole '.
"[""Why aren't you doing well in the class ? ""]", The material is so abstract that I have trouble understanding it . ,<b>ALICE:</b> Why aren't you doing well in the class ? ,BOB,I'm not good with writing stuff. I don't know enough about it to get a grade., I'm not sure. I think it's because I haven't studied as much as I should have.,"I don't know, I just can't focus on the material.","Oh, the teacher just told me that I need to learn some more."
"['What kind of permanent would you like to have ? ', ' what kinds do you have ? ']"," Oh , yeah , It ’ s quite of variety . Regular , cold perm , straight perm , pink curl and form . ",<b>ALICE:</b> What kind of permanent would you like to have ? <br><b>BOB:</b>  what kinds do you have ? ,ALICE,"That's what I'm going to write, thanks for the interest, but I'll pass.", I would like to get a portrait of my wife and I on my ankle.,"I am not sure. i am thinking i might want to have a hair upstyle, but i don't know. there is so many options and i feel a little overwhelmed.",What kind would you like?
['Where do you plan to go this winter ? ']," Alps , suppose . ",<b>ALICE:</b> Where do you plan to go this winter ? ,BOB,Going to be in Denver!, I'm going to the beach. I love the water and the sand. I can't wait,I'm not really sure i have any idea yet. i haven't done much research.,"I don't know yet. I've got a big list of places I want to go this winter, but it's not easy."
"['Come to think of it , you should get out your English books and catch up on your reading assignments . ', "" But I don't have any reading assignments . ""]", Then review for your test . You'll do even better . And maybe reading will help you get to sleep . ,"<b>ALICE:</b> Come to think of it , you should get out your English books and catch up on your reading assignments . <br><b>BOB:</b>  But I don't have any reading assignments . ",ALICE,Go to the back page where all of the assignments are. It's under the assigned number., That's a shame.  Reading is a great way to expand your vocabulary.,Are you kidding me? There are over one hundred pages of reading assigned in this course!,"Well, just grab your english textbooks and get them out. They will really help you understand the language better."
"[""Professor , I've handed in my paper . Did you read it ? ""]", Yes . You've done a good job . But there's one thing . You should narrow down your topic . ,"<b>ALICE:</b> Professor , I've handed in my paper . Did you read it ? ",BOB,I think that was a reference to that one weird thing.," Yes, I read it.  It was very good.  I think you did a great job.","Yes , I did . And I was very impressed with your argument and your conclusion . Your paper was well-written and very well-researched. I commend you for your hard work.",Quite. But I forgot about it.
"['Who gave my dog this cooked chicken bone ? ', ' I did . Why ? ']", Didn't you know dogs shouldn't eat cooked chicken bones because they're bad for their stomachs ? ,<b>ALICE:</b> Who gave my dog this cooked chicken bone ? <br><b>BOB:</b>  I did . Why ? ,ALICE,Because I like what you made.," I don't know, but I hope you didn't give it to your dog.",He's sick. And it smells really bad.,You didn't? What did you do?
"['I have learnt how to ride a bicycle . I plan to go to the Water Park by bike this weekend . ', "" Well , you know , the traffic in Beijing is sometimes dangerous . Therefore , I have to remind you of something . First , you should obey the traffic rules , don't break in the red light . Second , don't play a joke with your friends when riding on the bike . Third , do not hurry up when riding , or would make an accident . Finally , remember come on the left and go on the right ! ""]"," Oh , my dear sister , I am no longer a baby ! ","<b>ALICE:</b> I have learnt how to ride a bicycle . I plan to go to the Water Park by bike this weekend . <br><b>BOB:</b>  Well , you know , the traffic in Beijing is sometimes dangerous . Therefore , I have to remind you of something . First , you should obey the traffic rules , don't break in the red light . Second , don't play a joke with your friends when riding on the bike . Third , do not hurry up when riding , or would make an accident . Finally , remember come on the left and go on the right ! ",ALICE,No no he's right. Everyone riding to work is doing that in an accident., I'm sure you'll be fine.  Bikes are much safer than cars.,"Yeah , yeah , I know all that . Thanks for reminding me !","Well, that is so true. Do you know which kind of bicycle you should ride?"
"['Have you ever shopped online ? ', ' Quite often . It is very convenient , saving me a lot of time . ', ' Do you have some experiences to share with me ? I want to have a try . ', ' You are asking the right person . Here are two very important tips . First , you need to visit no more than one site to find the best products and prices . I can recommend you some online merchants . Second , write your mail address correctly . Otherwise , you can ’ t receive your delivery in time . ']", What about the registration procedure ? Is that complicated ? ,"<b>ALICE:</b> Have you ever shopped online ? <br><b>BOB:</b>  Quite often . It is very convenient , saving me a lot of time . <br><b>ALICE:</b>  Do you have some experiences to share with me ? I want to have a try . <br><b>BOB:</b>  You are asking the right person . Here are two very important tips . First , you need to visit no more than one site to find the best products and prices . I can recommend you some online merchants . Second , write your mail address correctly . Otherwise , you can ’ t receive your delivery in time . ",ALICE,"Yeah, I should probably just do it online."," Yes, I have used Shopify before. It's a great platform for e-commerce.",Thanks for the advice ! I will definitely keep those in mind .,Can you give me any practical advice for this?
"['Are these the clothes you want to have washed ? ', ' Yes . When can I get them back ? ', ' Well , if they are collected right now , you can get them back tonight . ']"," That's fine . By the way , please have that suit dry cleaned . ","<b>ALICE:</b> Are these the clothes you want to have washed ? <br><b>BOB:</b>  Yes . When can I get them back ? <br><b>ALICE:</b>  Well , if they are collected right now , you can get them back tonight . ",BOB,"Alright, thx!"," Yes, they are my favorite pair of jeans.  I am going to be so mad if I can't find them.",That sounds great . I'll just go ahead and give you my number so you can contact me if anything comes up.,OK. I'll call the laundry.
"['Come in , come in ! ', ' Hi , Gary , what happened ? I was waiting for you at the theater . Why didn ’ t you meet me there ? ']", I thought we were supposed to meet here . ,"<b>ALICE:</b> Come in , come in ! <br><b>BOB:</b>  Hi , Gary , what happened ? I was waiting for you at the theater . Why didn ’ t you meet me there ? ",ALICE,I didn't see you.," I was out of town, but I will make it up to you soon.","I’m sorry , I got held up at work . My boss needed me to stay a little longer to finish up some paperwork . But I promised I would meet you at the theater as soon as possible !",I just got home. I'm sorry.
"[""Wei ! This is a first-you didn't bargain ! "", "" Bargain ? I'd feel way too guilty . "", ' But you could have saved money . ']"," From a sweet ma ? ! It's not worth it . Plus , I'd happily pay more for these things I bought ! ",<b>ALICE:</b> Wei ! This is a first-you didn't bargain ! <br><b>BOB:</b>  Bargain ? I'd feel way too guilty . <br><b>ALICE:</b>  But you could have saved money . ,BOB,He didn't say he was saving money.," I know, I should have, but I didn't want to feel like I was taking advantage of him.","I know, but it's just not worth it to me. I'd rather keep a lot of money for myself than try and make another dollar off of someone else.",Then I'd rather spend my money on a better meal.
"[""What's that book you have under your arm ? "", "" It's the best seller everyone's been talking about for the last six months . "", "" How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn . ""]", I checked it out of the rental library . It only costs five cents a day . ,<b>ALICE:</b> What's that book you have under your arm ? <br><b>BOB:</b>  It's the best seller everyone's been talking about for the last six months . <br><b>ALICE:</b>  How in the world did you get a copy ? I've put a hold on it at the public library for weeks and I'm still waiting my turn . ,BOB,"He had a big sale. I know some people have a copy, but I don't know why everyone is freaking out about it.", I found it at a used bookstore. It's a collection of poetry.,I lucked out . My friend recommended it to me and I've been dying to read it ever since .,I bought it at a used bookstore when it first came out.
"['Good afternoon , welcome to IBA . How can I be of service ? ', "" I'd like to talk to somebody about the Group Account Deposit Service . ""]", This refers to the deposit business offered to the level 1 account of group companies . ,"<b>ALICE:</b> Good afternoon , welcome to IBA . How can I be of service ? <br><b>BOB:</b>  I'd like to talk to somebody about the Group Account Deposit Service . ",ALICE,"I did a little while ago, no responses"," Hi, I am an IBanking Consultant.  What do you want to know?","Sure , what would you like to know ?","... That's great, I'll let you know what's up."
['How you celebrate your Valentine ’ s Day with your wife ? '], I will take a rain check . ,<b>ALICE:</b> How you celebrate your Valentine ’ s Day with your wife ? ,BOB,By eating pasta., We are going out to dinner and then to a movie. We have been together for a long time so we don't feel the need to do anything extravagant.,What do you mean? what are your plans for it?,We take our wives to the cinema and go to the valentine's movie with our husbands.
"[""Well , I'm afraid I must be going now . I have no idea it was so late . ""]", Stay for dinner with us . ,"<b>ALICE:</b> Well , I'm afraid I must be going now . I have no idea it was so late . ",BOB,"Alright, sounds like a good plan. Let me know if you need more guidance. I could give you more help.", I'm sorry to hear that. I hope everything turns out well for you. I don't know what to say.,"You look exhausted . Here, let me help you to your car .",What's your name?
"['Would you like to order now ? ', "" Yes . I'll have the shrimp cocktail to start . "", ' What would you like for your main course ? ']"," I'll have a steak , medium rare . ",<b>ALICE:</b> Would you like to order now ? <br><b>BOB:</b>  Yes . I'll have the shrimp cocktail to start . <br><b>ALICE:</b>  What would you like for your main course ? ,BOB,Favourite food?, I would like a steak with mashed potatoes and a baked potato.,I'm not sure. What do you recommend?,I'd like a steak.
"['I am so happy to know that the promotion campaign for our new product is very successful . We just made a record sale this season . ', ' That is very encouraging news . I heard that the marketing department has done a three months research , they sent the feedback information to the research and development center by the end of every month . That is to say , the R & D center redesigned the product twice before it was launched into the market . ']", It is not an easy job . How do you like the advertisement for the new product ? ,"<b>ALICE:</b> I am so happy to know that the promotion campaign for our new product is very successful . We just made a record sale this season . <br><b>BOB:</b>  That is very encouraging news . I heard that the marketing department has done a three months research , they sent the feedback information to the research and development center by the end of every month . That is to say , the R & D center redesigned the product twice before it was launched into the market . ",ALICE,They have a new team that looks at the new products before they put them on the shelves., That's great!  What kind of product is it?  Is it a new?,"Yes, that is correct . The R & D center is always working on improving our products and making sure that they are the best they can be . I think that is one of the things that makes our company so successful – our focus on improvement and innovation .",I think you are right. I think the R & D center is very much needed now. I think the promotion campaign has made the product more popular and the sales are on the rise.
"[""Hi , Kenny . Let's go for a drink . "", ' Sounds good . Where are we going ? ', "" Somewhere new . It's a great place to pick up chicks . "", ' Need a new . girlfriend , huh ? ', ' Yeah , I broke up with Lisa.She blew a gasket over it . Whoa , get a load of that ! ', ' Whew ! That getup is terrific ! ', "" Never mind the getup.She ' s beautiful ! "", ' That too . ', "" I'm gonna introduce myself . ""]"," If you're lucky , that might do the trick . ","<b>ALICE:</b> Hi , Kenny . Let's go for a drink . <br><b>BOB:</b>  Sounds good . Where are we going ? <br><b>ALICE:</b>  Somewhere new . It's a great place to pick up chicks . <br><b>BOB:</b>  Need a new . girlfriend , huh ? <br><b>ALICE:</b>  Yeah , I broke up with Lisa.She blew a gasket over it . Whoa , get a load of that ! <br><b>BOB:</b>  Whew ! That getup is terrific ! <br><b>ALICE:</b>  Never mind the getup.She ' s beautiful ! <br><b>BOB:</b>  That too . <br><b>ALICE:</b>  I'm gonna introduce myself . ",BOB,Nice to meet you!," I know, right? She's so cute. I can't wait to see her again.",Sounds good to me.,Here. I'm a girl named Kim.
"['hi , Bob , I am so glad that you came . ', "" of course I'd come . I couldn't think of a better chance to see all my old friends . "", "" yeah . It's hard to believe that it's been ten years since graduation . It feels just yesterday we collected our diplomas . "", ' how time flies . But hey , how are things going with you ? ']"," oh , where to start ? There have been ups and downs . I'm still trying to find my place in this world . It's only recently that I've been able to start settling down . How about you ? You still with Jenn ","<b>ALICE:</b> hi , Bob , I am so glad that you came . <br><b>BOB:</b>  of course I'd come . I couldn't think of a better chance to see all my old friends . <br><b>ALICE:</b>  yeah . It's hard to believe that it's been ten years since graduation . It feels just yesterday we collected our diplomas . <br><b>BOB:</b>  how time flies . But hey , how are things going with you ? ",ALICE,"They're good, I guess. And you?", It has been a long time since I graduated high school.  I can't believe it has been 10 years.,"Things are going well . I just graduated from college and I am starting my career in marketing . It's been a lot of hard work , but it's been very rewarding .","it's been great, we have made a lot of new friends, but it's hard to stay good friends with them."
"['I am calling to find out why I didn ’ t receive an unemployment check this week . ', ' Did you send in your Continued Claim Form for the last period ? ', ' I think I forgot to send it in ! ']", You need to be very careful to send that form in every two weeks if you want to get paid . ,<b>ALICE:</b> I am calling to find out why I didn ’ t receive an unemployment check this week . <br><b>BOB:</b>  Did you send in your Continued Claim Form for the last period ? <br><b>ALICE:</b>  I think I forgot to send it in ! ,BOB,That is usually why you get stopped by a PO.," No, I did not. I didn't think I was eligible for it anyway.",It is not good to forget to send in forms. you will miss out on your benefits if you don’t follow up on them.,Is your employer claiming unemployment?
"['You would be using mainly English in this job . Do you think you could manage ? ', ' Yes , I am sure I can . ', ' Do you think you are proficient in both written and spoken English ? ', ' Yes , I think I am quite proficient in both written and spoken English . ']", Do you think you can make yourself understood in English with ease ? ,"<b>ALICE:</b> You would be using mainly English in this job . Do you think you could manage ? <br><b>BOB:</b>  Yes , I am sure I can . <br><b>ALICE:</b>  Do you think you are proficient in both written and spoken English ? <br><b>BOB:</b>  Yes , I think I am quite proficient in both written and spoken English . ",ALICE,Are you a tutor?, I think so. I've been studying it since I was a child. I'm pretty good at it.,"It would be good to have that proficiency when applying for jobs . A lot of times jobs require that you know a second language, but it would help your application stand out if you had that proficiency.",I see. Is it possible to find another job in this company?
"['Boy , it looks like everyone in your family is here , from young to old . ', "" Easter's a good day for reunions . The family goes to church together . "", ' And after church they come here for lunch ? ', ' Yup , a big potluck buffet . And then-notice there are no children around ? ']"," Yeah , what's up with that ? ","<b>ALICE:</b> Boy , it looks like everyone in your family is here , from young to old . <br><b>BOB:</b>  Easter's a good day for reunions . The family goes to church together . <br><b>ALICE:</b>  And after church they come here for lunch ? <br><b>BOB:</b>  Yup , a big potluck buffet . And then-notice there are no children around ? ",ALICE,It is also in the middle of a winter rain. I wouldn't worry about that., That is a good point. I didn't even think about that. I am the oldest,You know I've always liked families where everyone is on good terms .,"We eat a lot of meats and veggies, too. And then, we go to dinner. But we all eat together."
"['what was your wedding ceremony like , Abigail ? ', ' my husband and I got married in a registry office with just two friends there as witnesses . But then we had three parties to celebrate . ', "" three parties ? That's quite a lot . That must have been expensive ! "", "" well , since my husband and I are from two different countries , and we live in a third country , we decided to have one in each country . It wasn't actually that expensive . "", "" were your parents upset that they weren't there to see you get married ? ""]"," I would have liked them to be there , but they couldn ’ t afford to fly out to see us , and we couldn't afford to fly out to see them , so they understood . ","<b>ALICE:</b> what was your wedding ceremony like , Abigail ? <br><b>BOB:</b>  my husband and I got married in a registry office with just two friends there as witnesses . But then we had three parties to celebrate . <br><b>ALICE:</b>  three parties ? That's quite a lot . That must have been expensive ! <br><b>BOB:</b>  well , since my husband and I are from two different countries , and we live in a third country , we decided to have one in each country . It wasn't actually that expensive . <br><b>ALICE:</b>  were your parents upset that they weren't there to see you get married ? ",BOB,In a weird way yes... lol...," Yes, they were upset that I didn't have a wedding in their home country. ","No , they were actually really supportive . They knew that they could help us celebrate by sending flowers and gifts from each country . They didn't want us to feel like we were missing out on anything important.","yes, but they were not disappointed at all. In fact, my parents wanted me to make sure they were there."
"[""Oh , my God . I can't take it any more . "", "" What's wrong , honey ? Take it easy . "", "" I am tired of doing that boring work . I just repeat doing counting everyday . It's so terrible . "", ' Me too . But I think we can do something else for a change . ', "" You know I work with my professional knowledge not passion . Sometimes I don't know what the meaning of working is ? "", ' But you did a good job . You always perform the best in our company . ', "" Yes , that's in the past . Maybe I need to go to my psychologist for help . "", "" Perhaps you've just tired and you need a vacation . "", ' I was full of ambitions before . But now I have no aim for my career . ', ' Maybe we should keep on studying to enrich our knowledge and make our life exciting . ', "" That sounds interesting . But I don't know how to do that . "", ' How about a training course ? ', ' A training course ? That must be costly . ', "" But it's worth it . Maybe it can get us into a good mood and also helps us learn something to use for the future . "", "" OK , let's have a try . ""]", OK . ,"<b>ALICE:</b> Oh , my God . I can't take it any more . <br><b>BOB:</b>  What's wrong , honey ? Take it easy . <br><b>ALICE:</b>  I am tired of doing that boring work . I just repeat doing counting everyday . It's so terrible . <br><b>BOB:</b>  Me too . But I think we can do something else for a change . <br><b>ALICE:</b>  You know I work with my professional knowledge not passion . Sometimes I don't know what the meaning of working is ? <br><b>BOB:</b>  But you did a good job . You always perform the best in our company . <br><b>ALICE:</b>  Yes , that's in the past . Maybe I need to go to my psychologist for help . <br><b>BOB:</b>  Perhaps you've just tired and you need a vacation . <br><b>ALICE:</b>  I was full of ambitions before . But now I have no aim for my career . <br><b>BOB:</b>  Maybe we should keep on studying to enrich our knowledge and make our life exciting . <br><b>ALICE:</b>  That sounds interesting . But I don't know how to do that . <br><b>BOB:</b>  How about a training course ? <br><b>ALICE:</b>  A training course ? That must be costly . <br><b>BOB:</b>  But it's worth it . Maybe it can get us into a good mood and also helps us learn something to use for the future . <br><b>ALICE:</b>  OK , let's have a try . ",BOB,So., I feel the same way. I just don't feel like I'm doing a good enough job.,Great ! I'll look into it and let you know when I find something interesting .,Let's get started. I promise we'll have a good time.
"['Can you help me plan the office party ? ', ' Sure . What do you need the most help with , the food or entertainment ? ', ' I need help with food . ', "" OK , well , let's coordinate our efforts . Should this party be formal or casual ? "", ' I think it should be casual . ', ' I agree . Next , we have to decide on food . We have a choice of Chinese or Continental Cuisine . Which one should we have ? ', ' I would prefer Chinese food for this party . ', ' Perfect choice . For music , should we have a live band or a DJ ? ', ' I think we should hire a live band . ']"," OK then . Well , I will work on my part and get back to you with my progress on Friday . ","<b>ALICE:</b> Can you help me plan the office party ? <br><b>BOB:</b>  Sure . What do you need the most help with , the food or entertainment ? <br><b>ALICE:</b>  I need help with food . <br><b>BOB:</b>  OK , well , let's coordinate our efforts . Should this party be formal or casual ? <br><b>ALICE:</b>  I think it should be casual . <br><b>BOB:</b>  I agree . Next , we have to decide on food . We have a choice of Chinese or Continental Cuisine . Which one should we have ? <br><b>ALICE:</b>  I would prefer Chinese food for this party . <br><b>BOB:</b>  Perfect choice . For music , should we have a live band or a DJ ? <br><b>ALICE:</b>  I think we should hire a live band . ",BOB,I ll get the band.," I love chinese food, but I don't know how to make it.  Do you have a recipe?","OK , we can look into hiring a live band . Now , let's see if we can get some free publicity for the party by posting some flyers around town .","OK, let's organize the food."
['I was surprised to see how few people you have on-site . You provide a wide range of goods and services but have a very small workforce . ']," It depends on the time of year . At peak times we hire in casual workers to help with packing and dispatch . We also contract out certain services all year round , for example , cleaning . We run a very tight operation ! ",<b>ALICE:</b> I was surprised to see how few people you have on-site . You provide a wide range of goods and services but have a very small workforce . ,BOB,"I think its actually a pretty decent job to be honest, just a lot of work."," Yes, we are a small company.  We don't have a lot of employees, but we do it all ourselves.","Yes, we are very efficient in the way we operate. We use technology and remote monitoring to keep costs down.","Yeah, I know. It's not that simple. I had a few people on the payroll but none of them stayed long enough to see a job."
"[""Hello , Jack . I'm John . "", "" I'm glad to see you ! "", ' Sit down , please . Maybe you have read the contract , but I want to give you the details again before you sign the contract . You must have a three-month internship . ', ' Yes , I know . ', ' When you become a permanent employee , you will have the insurances . You will get monthly pay and will be on eight-hour / day work shift . ', ' Wait , will I have five insurances and one fund ? ', ' Yes . You can also enjoy legal holidays and year-end bonus . ', ' It sounds great ! ', ' If you need to work overtime , you will get twice the usual salary as overtime pay . ', ' OK . ', ' You have read the relevant terms of the contract . Do you have other questions ? ']", How long will the induction training be ? ,"<b>ALICE:</b> Hello , Jack . I'm John . <br><b>BOB:</b>  I'm glad to see you ! <br><b>ALICE:</b>  Sit down , please . Maybe you have read the contract , but I want to give you the details again before you sign the contract . You must have a three-month internship . <br><b>BOB:</b>  Yes , I know . <br><b>ALICE:</b>  When you become a permanent employee , you will have the insurances . You will get monthly pay and will be on eight-hour / day work shift . <br><b>BOB:</b>  Wait , will I have five insurances and one fund ? <br><b>ALICE:</b>  Yes . You can also enjoy legal holidays and year-end bonus . <br><b>BOB:</b>  It sounds great ! <br><b>ALICE:</b>  If you need to work overtime , you will get twice the usual salary as overtime pay . <br><b>BOB:</b>  OK . <br><b>ALICE:</b>  You have read the relevant terms of the contract . Do you have other questions ? ",BOB,this answer?," Yes, you will be provided with health insurance and a 401(k) plan.","Yes , actually . How long will the internship last ?",Yes. I do. I'll be back soon.
"['It is too bad today . ', ' What happened ? ', ' My som was lost . I told him to stand rooted to the spot when I went shopping , but he ignored it . ']", How did you find him at last ? ,"<b>ALICE:</b> It is too bad today . <br><b>BOB:</b>  What happened ? <br><b>ALICE:</b>  My som was lost . I told him to stand rooted to the spot when I went shopping , but he ignored it . ",BOB,Oh.. It really is unfortunate.., I'm sorry to hear that. Did you find your sibling? ,"It's okay, i'm sure he'll remember to do that the next time you're at the store.",He should be in the hospital.
['I am sorry to have kept all of you waiting . I was delayed by something urgent . ']," You are not late , Mr . Thomas . There're still 15 minutes to go . Mr . White has just called you . ",<b>ALICE:</b> I am sorry to have kept all of you waiting . I was delayed by something urgent . ,BOB,Alright thank you for your understanding., Oh no! I'm sorry to hear that. I hope everything is okay.,Is there anything you need?,What did that sound like?
"['Has your company been affected much by government legislation ? ', "" Yes , we have . We've had to clean up our production process a lot to meet tough government standards . ""]", What about your use of raw materials ? ,"<b>ALICE:</b> Has your company been affected much by government legislation ? <br><b>BOB:</b>  Yes , we have . We've had to clean up our production process a lot to meet tough government standards . ",ALICE,I feel you.," Yes, we have.  We have a lot of government regulations that we have to follow.","Do you think this has been good for your company? I mean, your profits have probably gone up because you've been able to meet these new standards.",How much have you changed in the last three years?
['You have been here for how long ? Four months now ? ']," Yeah , about . ",<b>ALICE:</b> You have been here for how long ? Four months now ? ,BOB,"Only been here for 2 and a half, and a part of another 3.", I've been here since August of last year. I like it a lot.,"Yeah , that's right . It feels like forever though, don't you think ?","Four months. I have a lot of family in the city, which is a big plus."
"[""I'm sorry , but I can't find the book you lent me . "", "" Oh , that's all right . ""]", I must apologize . I'll buy you a new one tomorrow . ,"<b>ALICE:</b> I'm sorry , but I can't find the book you lent me . <br><b>BOB:</b>  Oh , that's all right . ",ALICE,Are you guys really that close?, I am sorry to hear that. I hope you find it soon. ,"I looked everywhere for it , but I still can't find it .",Thank you. What would you like?
"['Do you have a free moment ? ', ' Sure . What do you need ? ', "" I'm having some trouble . How do you use this printer ? "", ' Well , first you have to turn this switch on . ']", Silly me . ,"<b>ALICE:</b> Do you have a free moment ? <br><b>BOB:</b>  Sure . What do you need ? <br><b>ALICE:</b>  I'm having some trouble . How do you use this printer ? <br><b>BOB:</b>  Well , first you have to turn this switch on . ",ALICE,I just opened a gate! Come on in," I need a new printer, but I don't know which one to get.",Okay .,I will. I'm not sure how to do that.
"['Do you understand any other foreign languages besides English ? ', ' Yes , I know a little about Japanese which is similar to Chinese not only in culture but in language itself . ']", What band did you pass in Japanese Language Proficiency Test ? ,"<b>ALICE:</b> Do you understand any other foreign languages besides English ? <br><b>BOB:</b>  Yes , I know a little about Japanese which is similar to Chinese not only in culture but in language itself . ",ALICE,Thank you very much for your help. You are really helpful.," I understand a little bit of Mandarin Chinese, which is the second most spoken language in the world.","That's interesting, aren't you? i would love to learn it one day. what do you like about japanese culture?",Can you speak Japanese? I would like to.
"[""You mustn't touch the wet paint , Bill . ""]", I'm sorry . I won't do it again . ,"<b>ALICE:</b> You mustn't touch the wet paint , Bill . ",BOB,That s not wet paint, I'm not sure what you mean by that. I don't know who Bill is.,Why not?,I'm not a fan of our friend.
